28;30.95;987.46;147.36;0.15;0.04;0.02;0.32;0.42;0.33;57;84;103;42;63;75;0;16;33;22;23;3;20;5019.42;1849.48;N;E;259.30;0;6;10.4;22.90;0.00;67.06
29;30.97;987.50;148.81;0.15;0.04;0.01;0.32;0.40;-0.06;59;86;105;43;64;76;0;16;33;23;23;3;20;5019.42;1849.48;N;E;259.90;0;7;9.69;26.44;0.00;63.87
30;30.98;987.51;138.82;0.15;0.04;0.01;0.29;0.19;-0.36;59;86;105;43;64;76;0;16;33;24;23;3;20;5019.42;1849.48;N;E;260.50;0;8;9.21;28.56;0.00;62.23
31;30.99;987.48;147.19;0.14;0.04;0.02;0.30;0.25;-0.39;57;84;103;42;63;75;0;16;33;25;23;3;20;5019.42;1849.48;N;E;262.00;0;8;9.21;26.33;0.00;64.47
32;31.01;987.47;147.84;0.15;0.04;0.02;0.30;0.29;0.04;59;86;105;43;64;76;0;16;33;26;23;3;20;5019.42;1849.48;N;E;262.60;0;7;9.55;26.72;0.00;63.73
33;31.03;987.47;145.26;0.15;0.04;0.02;0.39;0.22;0.24;59;86;105;43;64;76;0;16;33;27;23;3;20;5019.42;1849.48;N;E;263.10;0;7;9.00;23.59;0.00;67.41
34;31.04;987.47;147.28;0.15;0.04;0.01;0.28;0.19;-0.46;59;86;105;43;64;76;0;16;33;28;23;3;20;5019.42;1849.48;N;E;264.70;0;7;9.42;24.00;0.00;66.59
35;31.06;987.49;146.63;0.15;0.04;0.01;0.28;0.17;-0.27;59;86;105;43;64;76;0;16;33;29;23;3;20;5019.42;1849.48;N;E;265.30;0;6;9.21;22.90;0.00;67.89
36;31.07;987.47;144.37;0.15;0.04;0.01;0.26;0.32;0.07;59;86;105;43;64;76;0;16;33;30;23;3;20;5019.42;1849.48;N;E;265.70;0;5;0.01;28.37;0.00;71.61
37;31.08;987.45;142.60;0.14;0.03;0.02;0.19;0.28;-0.05;59;86;105;43;64;76;0;16;33;31;23;3;20;5019.42;1849.48;N;E;266.00;0;7;9.26;23.85;0.00;66.89
38;31.11;987.48;146.47;0.15;0.04;0.01;0.28;0.20;-0.68;59;86;105;43;64;76;0;16;33;32;23;3;20;5019.42;1849.48;N;E;266.30;0;7;9.34;23.66;0.00;66.99
39;31.11;987.45;147.60;0.15;0.04;0.02;0.33;0.36;-0.39;59;86;105;43;64;76;0;16;33;33;23;3;20;5019.42;1849.48;N;E;266.60;0;6;9.48;26.57;0.00;63.96
40;31.13;987.44;145.74;0.15;0.04;0.02;0.32;0.38;0.12;59;86;105;43;64;76;0;16;33;34;23;3;20;5019.42;1849.48;N;E;266.90;0;7;9.62;25.78;0.00;64.60
41;31.14;987.46;146.71;0.14;0.04;0.00;0.32;0.44;-0.18;59;86;105;43;64;76;0;16;33;35;23;3;20;5019.42;1849.48;N;E;267.10;0;6;9.63;23.80;0.00;66.58
42;31.16;987.47;147.19;0.14;0.04;0.02;0.40;0.25;-0.65;59;86;105;43;64;76;0;16;33;36;23;3;20;5019.42;1849.48;N;E;267.50;0;7;9.34;25.83;0.00;64.83
43;31.18;987.47;146.31;0.14;0.04;0.03;0.27;0.33;0.11;59;86;107;43;64;77;0;16;33;37;23;3;20;5019.42;1849.48;N;E;266.70;0;7;9.34;23.29;0.00;67.37
44;31.20;987.48;144.86;0.15;0.03;0.01;0.17;0.24;-0.37;59;86;107;43;64;77;0;16;33;38;23;3;20;5019.42;1849.48;N;E;266.00;0;6;9.62;28.98;0.00;61.39
45;31.22;987.48;142.36;0.15;0.04;0.02;0.26;0.07;-0.43;59;86;107;43;64;77;0;16;33;39;23;3;20;5019.42;1849.48;N;E;265.10;0;5;9.21;24.1;0.00;66.77
46;31.23;987.48;143.89;0.15;0.03;0.02;0.24;0.35;0.15;59;86;105;43;64;76;0;16;33;40;23;3;20;5019.42;1849.48;N;E;264.90;0;6;9.00;24.92;0.00;66.08
47;31.24;987.46;147.19;0.15;0.04;0.02;0.29;0.20;-0.20;59;86;107;43;64;77;0;16;33;41;23;3;20;5019.42;1849.48;N;E;264.00;0;6;9.21;25.81;0.00;64.98
48;31.26;987.46;146.23;0.15;0.03;0.01;0.14;0.11;-0.82;59;86;105;43;64;76;0;16;33;42;23;3;20;5019.42;1849.48;N;E;264.20;0;5;9.55;26.66;0.00;63.78
49;31.27;987.51;144.94;0.15;0.04;0.02;0.23;0.14;0.04;59;86;105;43;64;76;0;16;33;43;23;3;20;5019.42;1849.48;N;E;264.20;0;7;9.55;24.98;0.00;65.46
50;31.28;987.48;143.49;0.15;0.04;0.01;0.39;0.32;0.12;59;86;105;43;64;76;0;16;33;44;23;3;20;5019.42;1849.48;N;E;264.30;0;7;9.21;25.36;0.00;65.43
51;31.30;987.50;145.99;0.15;0.04;0.01;0.27;0.23;-0.42;59;86;105;43;64;76;0;16;33;45;23;3;20;5019.42;1849.48;N;E;263.80;0;5;9.42;26.40;0.00;64.18
52;31.32;987.47;146.55;0.15;0.04;0.01;0.31;0.35;0.06;59;86;107;43;64;77;0;16;33;46;23;3;20;5019.42;1849.48;N;E;263.90;0;6;9.62;24.84;0.00;65.53
