31.17;978.76;712;16256;1544;-722;-30;-220;19;27;31;19;27;31;0
31.18;978.75;700;16348;1532;-725;-26;-241;19;27;31;19;27;31;0
31.17;978.70;664;16380;1576;-719;-40;-236;19;27;31;19;27;31;0
31.17;978.70;664;16264;1564;-698;-31;-234;19;27;31;19;27;31;0
31.17;978.68;824;16236;1436;-804;4;-278;19;27;31;19;27;31;0
31.17;978.69;764;16284;1460;-699;-48;-230;19;27;31;19;27;31;0
31.17;978.72;792;16220;1892;-712;-17;-261;19;27;31;19;27;31;0
31.16;978.71;756;16332;1756;-765;-39;-225;19;27;31;19;27;31;0
31.15;978.76;784;16316;1808;-696;-38;-232;18;26;30;18;26;30;0
31.16;978.78;852;16344;1684;-743;-38;-251;18;26;30;18;26;30;0
31.17;978.75;800;16412;1720;-793;-18;-236;18;26;30;18;26;30;0
31.17;978.73;788;16332;1656;-548;-16;-215;18;26;30;18;26;30;0
31.18;978.72;876;16320;1772;-787;-53;-238;18;26;30;18;26;30;0
31.19;978.74;800;16320;1640;-646;-61;-238;18;26;30;18;26;30;0
31.20;978.78;848;16284;1712;-727;-23;-215;18;26;30;18;26;30;0
31.21;978.77;772;16216;1776;-730;-31;-233;18;26;30;18;26;30;0
31.21;978.78;800;16408;1624;-710;-39;-223;18;26;30;18;26;30;0
31.21;978.80;728;16312;1716;-708;-38;-248;18;26;30;18;26;30;0
31.16;978.80;784;16232;1696;-702;-21;-220;18;26;30;18;26;30;0
31.14;978.75;732;16176;1648;-728;-35;-234;19;27;31;19;27;31;0
31.12;978.73;896;16364;1576;-685;-50;-253;18;26;30;18;26;30;0
31.13;978.73;792;16220;1764;-642;-22;-223;19;27;31;19;27;31;0
31.13;978.73;824;16256;1648;-661;-35;-259;19;27;31;19;27;31;0
31.13;978.73;724;16392;1608;-646;-32;-216;19;27;31;19;27;31;0
31.14;978.72;832;16252;1552;-782;-20;-252;19;27;31;19;27;31;0
31.15;978.74;780;16300;1664;-629;-13;-229;19;27;31;19;27;31;0
31.15;978.73;980;16264;1736;-611;-36;-227;19;27;31;19;27;31;0
31.16;978.73;840;16348;1600;-828;-41;-240;19;27;31;19;27;31;0
31.17;978.72;932;16344;1652;-577;-41;-231;19;27;31;19;27;31;0
31.16;978.75;960;16328;1632;-357;-49;-320;19;27;31;19;27;31;0
31.18;978.77;804;16248;1768;-497;-46;-193;19;27;31;19;27;31;0
31.18;978.74;896;16284;1524;-683;-44;-232;19;27;31;19;27;31;0
31.19;978.76;844;16276;1592;-752;-16;-245;19;27;31;19;27;31;0
31.16;978.76;832;16320;1592;-745;-44;-238;19;27;31;19;27;31;0
31.15;978.74;824;16200;1728;-736;-34;-221;19;27;31;19;27;31;0
31.15;978.73;860;16264;1540;-645;-48;-237;19;27;31;19;27;31;0
31.09;978.73;852;16308;1620;-882;-55;-209;19;27;31;19;27;31;0
31.06;978.73;764;16224;1664;-874;-40;-232;19;27;31;19;27;31;0
31.04;978.73;776;16356;1644;-682;-19;-218;18;26;30;18;26;30;0
31.04;978.73;844;16276;1664;-709;-47;-228;19;27;31;19;27;31;0
31.03;978.70;1768;16588;1732;-884;-742;27;19;27;31;19;27;31;0
31.04;978.73;748;16140;1660;-581;-32;-32;19;27;31;19;27;31;0
31.04;978.71;764;16240;1600;-835;-47;-245;19;27;31;19;27;31;0
31.02;978.72;728;16400;1632;-742;-30;-253;19;27;31;19;27;31;0
31.03;978.68;908;16392;1492;-745;-38;-260;19;27;31;19;27;31;0
31.03;978.73;872;16296;1580;-731;-36;-220;19;27;31;19;27;31;0
