0;42.68;985.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16;23;26;16;23;26;0;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;0;0.00;0.00;0.00;0.00
1;44.46;985.23;214.36;0.08;0.04;0.01;-5.05;3.53;-2.62;16;23;27;16;23;27;0;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;6;9.71;24.12;0.00;66.17
2;44.51;985.24;221.44;0.07;0.04;0.00;-0.05;0.05;0.00;16;23;27;16;23;27;0;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;5;8.67;27.60;0.00;63.74
3;44.54;985.24;221.68;0.08;0.03;0.01;0.04;0.12;-0.04;16;23;27;16;23;27;0;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;6;9.29;29.60;0.00;61.11
4;44.56;985.22;223.63;0.07;0.04;0.01;0.05;0.02;-0.06;16;23;27;16;23;27;0;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;6;8.73;22.91;0.00;68.36
5;44.59;985.22;231.81;0.07;0.04;0.01;0.04;0.01;-0.10;16;23;27;16;23;27;0;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;3;90.11;0.04;0.00;9.85
6;44.63;985.22;228.76;0.07;0.04;0.01;0.03;-0.04;0.09;16;23;27;16;23;27;0;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;2;37.50;0.00;0.00;62.50
7;44.65;985.24;224.85;0.07;0.03;0.01;-0.07;-0.05;0.03;16;23;27;16;23;27;0;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;4;4.53;14.48;0.00;80.99
8;44.67;985.22;224.00;0.08;0.04;0.01;-0.08;-0.08;-0.00;17;24;28;17;24;28;0;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;6;0.47;4.65;0.00;94.88
9;44.71;985.20;230.96;0.08;0.04;0.00;0.10;-0.15;0.11;17;24;28;17;24;28;0;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;5;03.9;05.1;0.00;91.89
10;44.73;985.20;231.57;0.07;0.03;0.01;0.21;0.08;-0.10;17;24;28;17;24;28;0;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;6;9.18;24.99;0.00;65.83
11;44.76;985.21;226.20;0.07;0.03;0.02;0.04;-0.07;-0.04;17;24;28;17;24;28;0;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;1;70.51;0.04;0.00;29.45
12;44.78;985.17;229.00;0.07;0.03;0.02;0.12;0.06;0.11;17;24;28;17;24;28;0;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;failed;5;32.13;05.8;0.00;62.80
